alpha,q,fe
0.5,0.9999,-1.8461157275535818
0.5,0.9998795799434764,-1.8003098549136303
0.5,0.9998549900998686,-1.7543774123072424
0.5,0.999825378996297,-1.7088017903471744
0.5,0.9997897212886387,-1.6632379411659877
0.5,0.9997467822569217,-1.617850238268848
0.5,0.9996950750506575,-1.5728239796217733
0.5,0.9996328092036472,-1.5276272175365126
0.5,0.9995578286354826,-1.4822092907171769
0.5,0.999467536992917,-1.4371141268965626
0.5,0.9993588077459036,-1.3922543514585601
0.5,0.9992278759251922,-1.3475161312036454
0.5,0.9990702077526843,-1.3037426645165182
0.5,0.9988803436502306,-1.2592311062682189
0.5,0.9986517091907379,-1.215375253982972
0.5,0.9983763874453843,-1.1711737882939188
0.5,0.9980448448440078,-1.1277435831807754
0.5,0.9976456010560306,-1.084391028035474
0.5,0.9971648314608815,-1.0411716284520318
0.5,0.9965858884426547,-0.9984523635999377
0.5,0.9958887249328668,-0.9561285588981309
0.5,0.9950492002403184,-0.9142399153710543
0.5,0.9940382441310223,-0.8727905572926034
0.5,0.9928208502127792,-0.8318589913188721
0.5,0.9913548637683164,-0.7914936377175906
0.5,0.9895895220632662,-0.7517790197547407
0.5,0.9874636965842105,-0.7127010902367191
0.5,0.9849037763407389,-0.6744092504370258
0.5,0.981821118936592,-0.6369958571975566
0.5,0.9781089811480899,-0.6005347374203107
0.5,0.9736388227249426,-0.5650302351766399
0.5,0.9682558554250951,-0.530809725342314
0.5,0.9617736831599729,-0.49779896458168094
0.5,0.9539678476543572,-0.4662209075441613
0.5,0.944568056126357,-0.4362033340005921
0.5,0.9332488218552406,-0.4078836783718677
0.5,0.9196181935479261,-0.3814941944514662
0.5,0.9032041832357389,-0.3570497687368405
0.5,0.8834384227400172,-0.3348910608517987
0.5,0.8596364827787537,-0.3154112772176399
0.5,0.8309741732236922,-0.29801374939829306
0.5,0.7964590038565238,-0.28368676228233647
0.5,0.7548958173953708,-0.27234078780262067
0.5,0.7048454047658499,-0.2641619223993328
0.5,0.6445746695870965,-0.2592709670574327
0.5,0.5719966162176653,-0.257826249668142
0.5,0.4845980833264829,-0.2598944120055432
0.5,0.3793527206181426,-0.2655822802071813
0.5,0.25261619535631386,-0.27486840322036743
0.5,0.09999999999999998,-0.28773396625882564
0.5,0.0,-0.2965896482608489
0.95,0.9999,0.05612433121101559
0.95,0.9998795799434764,0.060310597662943
0.95,0.9998549900998686,0.06440103828318375
0.95,0.999825378996297,0.06849871015452205
0.95,0.9997897212886387,0.0724079481286625
0.95,0.9997467822569217,0.07661241724284282
0.95,0.9996950750506575,0.08044348282822258
0.95,0.9996328092036472,0.08415259896095381
0.95,0.9995578286354826,0.08790386065017147
0.95,0.999467536992917,0.0914374130974126
0.95,0.9993588077459036,0.09461241697629252
0.95,0.9992278759251922,0.09822230728935663
0.95,0.9990702077526843,0.1015268170369777
0.95,0.9988803436502306,0.10467342278866337
0.95,0.9986517091907379,0.10764257995189444
0.95,0.9983763874453843,0.1098250821198882
0.95,0.9980448448440078,0.1125088935232161
0.95,0.9976456010560306,0.11495074633585076
0.95,0.9971648314608815,0.11706296302530911
0.95,0.9965858884426547,0.11891165605852383
0.95,0.9958887249328668,0.12019160228297097
0.95,0.9950492002403184,0.12214251716736785
0.95,0.9940382441310223,0.12266755498376734
0.95,0.9928208502127792,0.12388481078100146
0.95,0.9913548637683164,0.12414874646988909
0.95,0.9895895220632662,0.12401966004303536
0.95,0.9874636965842105,0.12339150984305977
0.95,0.9849037763407389,0.12221315690017476
0.95,0.981821118936592,0.12039417745977636
0.95,0.9781089811480899,0.11794792968263776
0.95,0.9736388227249426,0.11480577448654689
0.95,0.9682558554250951,0.11083303221415011
0.95,0.9617736831599729,0.10593380849296671
0.95,0.9539678476543572,0.10004738785746227
0.95,0.944568056126357,0.09301736065892863
0.95,0.9332488218552406,0.08486111784288154
0.95,0.9196181935479261,0.07530506420968718
0.95,0.9032041832357389,0.06422554091422672
0.95,0.8834384227400172,0.05153445473083178
0.95,0.8596364827787537,0.037041763251726575
0.95,0.8309741732236922,0.020591482992858116
0.95,0.7964590038565238,0.0019663051113395363
0.95,0.7548958173953708,-0.019237487007546482
0.95,0.7048454047658499,-0.042439482537786566
0.95,0.6445746695870965,-0.068640823905912
0.95,0.5719966162176653,-0.09771448091771713
0.95,0.4845980833264829,-0.12987707622159386
0.95,0.3793527206181426,-0.16528861500077174
0.95,0.25261619535631386,-0.20407292467286559
0.95,0.09999999999999998,-0.24635336447234724
0.95,0.0,-0.271907981285108
0.99,0.9999,0.23917707482944037
0.99,0.9998795799434764,0.23968845947098374
0.99,0.9998549900998686,0.2400709169459165
0.99,0.999825378996297,0.24046266916653516
0.99,0.9997897212886387,0.24068874632421136
0.99,0.9997467822569217,0.24104374904628623
0.99,0.9996950750506575,0.24131188548625873
0.99,0.9996328092036472,0.24131779596749514
0.99,0.9995578286354826,0.24142598722370834
0.99,0.999467536992917,0.2412356643989536
0.99,0.9993588077459036,0.2406955758726857
0.99,0.9992278759251922,0.24063318676533732
0.99,0.9990702077526843,0.24022824497206138
0.99,0.9988803436502306,0.23969079490349227
0.99,0.9986517091907379,0.23897482008676513
0.99,0.9983763874453843,0.23758581422839598
0.99,0.9980448448440078,0.23643107359721538
0.99,0.9976456010560306,0.2352651941933814
0.99,0.9971648314608815,0.23353395397390747
0.99,0.9965858884426547,0.23204649266045746
0.99,0.9958887249328668,0.2298379300467187
0.99,0.9950492002403184,0.22781515979873446
0.99,0.9940382441310223,0.22525177928879225
0.99,0.9928208502127792,0.22229453474167257
0.99,0.9913548637683164,0.21896261616480905
0.99,0.9895895220632662,0.2152309418398108
0.99,0.9874636965842105,0.2108086481745731
0.99,0.9849037763407389,0.20541641711328842
0.99,0.981821118936592,0.20079659260441055
0.99,0.9781089811480899,0.19480499391637585
0.99,0.9736388227249426,0.18810276122861969
0.99,0.9682558554250951,0.18061203949192556
0.99,0.9617736831599729,0.1722122007234207
0.99,0.9539678476543572,0.16281068610843694
0.99,0.944568056126357,0.15237070070624986
0.99,0.9332488218552406,0.14070748123667023
0.99,0.9196181935479261,0.12776982750177346
0.99,0.9032041832357389,0.11329960439349036
0.99,0.8834384227400172,0.09728662829592713
0.99,0.8596364827787537,0.07949195882266963
0.99,0.8309741732236922,0.05971607367451109
0.99,0.7964590038565238,0.0379293461090538
0.99,0.7548958173953708,0.01354469817790597
0.99,0.7048454047658499,-0.012797844633480448
0.99,0.6445746695870965,-0.0420835109378416
0.99,0.5719966162176653,-0.07422808739051567
0.99,0.4845980833264829,-0.1094091795595548
0.99,0.3793527206181426,-0.1477983530713246
0.99,0.25261619535631386,-0.18953127020984256
0.99,0.09999999999999998,-0.23476071670813844
0.99,0.0,-0.2619663055308592
