alpha,gen_error_mean,gen_error_std
0.05,3.11177154177082e-14,1.0744807803143166e-15
0.1,1.4729335098511347e-09,9.976908309332033e-10
0.15,2.685639084465396e-10,2.0150906166776947e-10
0.2,2.6667773888817763e-07,2.1153132323644125e-07
0.25,0.0031046816635325047,0.0006683569981011655
0.3,0.11026935553930772,0.005151395437520391
0.35,0.27872518686207615,0.006893287924201993
0.4,0.40085841117288057,0.008114356937727281
0.45,0.5612891437410368,0.014848241960721105
0.5,0.5089328741622683,0.010349957415075689
0.55,0.6172117916387805,0.010726666492374196
0.6,0.712623963130403,0.016083247140176487
0.65,0.6571922544390949,0.011081398097650741
0.7,0.5783282376434973,0.011233923013983963
0.75,0.4936505306333739,0.005481228884915229
0.8,0.5488582130036683,0.008289823044287726
0.85,0.42164406693792533,0.006734530486174268
0.9,0.47464123701264194,0.01201075155794604
0.95,0.30834326359070696,0.003921061375852545
1.0,0.3428248688555608,0.00497245034176212
1.05,0.3927710584160851,0.007322243293027931
1.1,0.43909270733068145,0.008659685314817141
1.15,0.329704442829413,0.0013856301930654056
1.2,0.34063047775202593,0.0010776458736841586
1.25,0.3449486120380846,0.001289961479992701
